"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"2","Native",1,24,"disamb","fp","disamb fp",4,0,188,188,-0.5,0.5
"4","Native",1,12,"disamb","fp","disamb fp",4,0,192,192,-0.5,0.5
"6","Native",1,6,"disamb","fp","disamb fp",2,0,344,344,0.5,0.5
"8","Native",1,7,"disamb","fp","disamb fp",3,0,186,186,-0.5,-0.5
"10","Native",1,14,"disamb","fp","disamb fp",2,0,303,303,0.5,0.5
"12","Native",1,21,"disamb","fp","disamb fp",1,0,191,191,0.5,-0.5
"14","Native",1,19,"disamb","fp","disamb fp",3,1,0,NA,-0.5,-0.5
"16","Native",1,17,"disamb","fp","disamb fp",1,1,0,NA,0.5,-0.5
"18","Native",1,10,"disamb","fp","disamb fp",2,0,513,513,0.5,0.5
"20","Native",1,23,"disamb","fp","disamb fp",3,0,449,449,-0.5,-0.5
"22","Native",1,15,"disamb","fp","disamb fp",3,0,348,348,-0.5,-0.5
"24","Native",1,1,"disamb","fp","disamb fp",1,0,201,201,0.5,-0.5
"26","Native",1,2,"disamb","fp","disamb fp",2,0,276,276,0.5,0.5
"28","Native",1,5,"disamb","fp","disamb fp",1,0,347,347,0.5,-0.5
"30","Native",1,16,"disamb","fp","disamb fp",4,0,264,264,-0.5,0.5
"32","Native",1,3,"disamb","fp","disamb fp",3,0,203,203,-0.5,-0.5
"34","Native",1,13,"disamb","fp","disamb fp",1,1,0,NA,0.5,-0.5
"36","Native",1,11,"disamb","fp","disamb fp",3,0,451,451,-0.5,-0.5
"38","Native",1,9,"disamb","fp","disamb fp",1,0,335,335,0.5,-0.5
"40","Native",1,8,"disamb","fp","disamb fp",4,0,289,289,-0.5,0.5
"42","Native",1,4,"disamb","fp","disamb fp",4,0,253,253,-0.5,0.5
"44","Native",1,20,"disamb","fp","disamb fp",4,0,381,381,-0.5,0.5
"46","Native",1,18,"disamb","fp","disamb fp",2,0,234,234,0.5,0.5
"48","Native",1,22,"disamb","fp","disamb fp",2,0,170,170,0.5,0.5
"50","Native",2,14,"disamb","fp","disamb fp",3,0,199,199,-0.5,-0.5
"52","Native",2,4,"disamb","fp","disamb fp",1,0,323,323,0.5,-0.5
"54","Native",2,19,"disamb","fp","disamb fp",4,0,250,250,-0.5,0.5
"56","Native",2,1,"disamb","fp","disamb fp",2,0,194,194,0.5,0.5
"58","Native",2,5,"disamb","fp","disamb fp",2,1,0,NA,0.5,0.5
