"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"11521","Native",1,38,"disamb","rp","disamb rp",6,0,328,328,-0.5,-0.5
"11523","Native",1,39,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11525","Native",1,26,"disamb","rp","disamb rp",6,0,586,586,-0.5,-0.5
"11527","Native",1,34,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11529","Native",1,46,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11531","Native",1,29,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11533","Native",1,36,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11535","Native",1,30,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11537","Native",1,40,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11539","Native",1,33,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11541","Native",1,43,"disamb","rp","disamb rp",7,0,708,708,0.5,0.5
"11543","Native",1,28,"disamb","rp","disamb rp",8,0,375,375,-0.5,0.5
"11545","Native",1,31,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11547","Native",1,45,"disamb","rp","disamb rp",5,0,298,298,0.5,-0.5
"11549","Native",1,25,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11551","Native",1,41,"disamb","rp","disamb rp",5,0,252,252,0.5,-0.5
"11553","Native",1,42,"disamb","rp","disamb rp",6,0,853,853,-0.5,-0.5
"11555","Native",1,37,"disamb","rp","disamb rp",5,0,1039,1039,0.5,-0.5
"11557","Native",1,32,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11559","Native",1,48,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11561","Native",1,47,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11563","Native",1,44,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11565","Native",1,27,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11567","Native",1,35,"disamb","rp","disamb rp",7,0,201,201,0.5,0.5
"11569","Native",2,46,"disamb","rp","disamb rp",7,0,159,159,0.5,0.5
"11571","Native",2,25,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11573","Native",2,39,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11575","Native",2,38,"disamb","rp","disamb rp",7,0,1007,1007,0.5,0.5
"11577","Native",2,30,"disamb","rp","disamb rp",7,0,576,576,0.5,0.5
"11579","Native",2,27,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11581","Native",2,29,"disamb","rp","disamb rp",6,0,675,675,-0.5,-0.5
"11583","Native",2,33,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11585","Native",2,32,"disamb","rp","disamb rp",5,0,662,662,0.5,-0.5
"11587","Native",2,43,"disamb","rp","disamb rp",8,0,653,653,-0.5,0.5
"11589","Native",2,45,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11591","Native",2,48,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11593","Native",2,47,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11595","Native",2,31,"disamb","rp","disamb rp",8,0,407,407,-0.5,0.5
"11597","Native",2,26,"disamb","rp","disamb rp",7,0,183,183,0.5,0.5
"11599","Native",2,42,"disamb","rp","disamb rp",7,0,176,176,0.5,0.5
"11601","Native",2,36,"disamb","rp","disamb rp",5,0,194,194,0.5,-0.5
"11603","Native",2,35,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11605","Native",2,44,"disamb","rp","disamb rp",5,0,514,514,0.5,-0.5
"11607","Native",2,41,"disamb","rp","disamb rp",6,0,315,315,-0.5,-0.5
"11609","Native",2,37,"disamb","rp","disamb rp",6,0,209,209,-0.5,-0.5
"11611","Native",2,40,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11613","Native",2,28,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11615","Native",2,34,"disamb","rp","disamb rp",7,0,301,301,0.5,0.5
"11618","Native",3,34,"disamb","rp","disamb rp",8,0,563,563,-0.5,0.5
"11620","Native",3,30,"disamb","rp","disamb rp",8,0,562,562,-0.5,0.5
"11622","Native",3,38,"disamb","rp","disamb rp",8,0,1617,1617,-0.5,0.5
"11624","Native",3,43,"disamb","rp","disamb rp",5,0,1042,1042,0.5,-0.5
"11626","Native",3,47,"disamb","rp","disamb rp",5,0,1174,1174,0.5,-0.5
"11628","Native",3,25,"disamb","rp","disamb rp",7,0,327,327,0.5,0.5
"11630","Native",3,37,"disamb","rp","disamb rp",7,0,622,622,0.5,0.5
"11632","Native",3,40,"disamb","rp","disamb rp",6,0,1735,1735,-0.5,-0.5
"11634","Native",3,42,"disamb","rp","disamb rp",8,0,7381,7381,-0.5,0.5
"11636","Native",3,33,"disamb","rp","disamb rp",7,0,416,416,0.5,0.5
"11638","Native",3,39,"disamb","rp","disamb rp",5,0,397,397,0.5,-0.5
"11640","Native",3,41,"disamb","rp","disamb rp",7,0,1095,1095,0.5,0.5
"11642","Native",3,27,"disamb","rp","disamb rp",5,0,484,484,0.5,-0.5
"11644","Native",3,29,"disamb","rp","disamb rp",7,0,1202,1202,0.5,0.5
"11646","Native",3,46,"disamb","rp","disamb rp",8,0,384,384,-0.5,0.5
"11648","Native",3,28,"disamb","rp","disamb rp",6,0,385,385,-0.5,-0.5
"11650","Native",3,35,"disamb","rp","disamb rp",5,0,2240,2240,0.5,-0.5
"11652","Native",3,45,"disamb","rp","disamb rp",7,0,1781,1781,0.5,0.5
"11654","Native",3,32,"disamb","rp","disamb rp",6,0,1315,1315,-0.5,-0.5
"11656","Native",3,26,"disamb","rp","disamb rp",8,0,659,659,-0.5,0.5
"11658","Native",3,36,"disamb","rp","disamb rp",6,0,473,473,-0.5,-0.5
"11660","Native",3,31,"disamb","rp","disamb rp",5,0,874,874,0.5,-0.5
"11662","Native",3,48,"disamb","rp","disamb rp",6,0,1194,1194,-0.5,-0.5
"11664","Native",3,44,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11666","Native",4,43,"disamb","rp","disamb rp",6,0,306,306,-0.5,-0.5
"11668","Native",4,33,"disamb","rp","disamb rp",8,0,161,161,-0.5,0.5
"11670","Native",4,29,"disamb","rp","disamb rp",8,0,211,211,-0.5,0.5
"11672","Native",4,41,"disamb","rp","disamb rp",8,0,183,183,-0.5,0.5
"11674","Native",4,26,"disamb","rp","disamb rp",5,0,302,302,0.5,-0.5
"11676","Native",4,28,"disamb","rp","disamb rp",7,0,226,226,0.5,0.5
"11678","Native",4,25,"disamb","rp","disamb rp",8,0,273,273,-0.5,0.5
"11680","Native",4,34,"disamb","rp","disamb rp",5,0,347,347,0.5,-0.5
"11682","Native",4,38,"disamb","rp","disamb rp",5,0,262,262,0.5,-0.5
"11684","Native",4,30,"disamb","rp","disamb rp",5,0,194,194,0.5,-0.5
"11686","Native",4,48,"disamb","rp","disamb rp",7,0,166,166,0.5,0.5
"11688","Native",4,27,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11690","Native",4,35,"disamb","rp","disamb rp",6,0,431,431,-0.5,-0.5
"11692","Native",4,45,"disamb","rp","disamb rp",8,0,293,293,-0.5,0.5
"11694","Native",4,42,"disamb","rp","disamb rp",5,0,277,277,0.5,-0.5
"11696","Native",4,47,"disamb","rp","disamb rp",6,0,218,218,-0.5,-0.5
"11698","Native",4,39,"disamb","rp","disamb rp",6,0,303,303,-0.5,-0.5
"11700","Native",4,44,"disamb","rp","disamb rp",7,0,187,187,0.5,0.5
"11702","Native",4,32,"disamb","rp","disamb rp",7,0,1217,1217,0.5,0.5
"11704","Native",4,37,"disamb","rp","disamb rp",8,0,231,231,-0.5,0.5
"11706","Native",4,46,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11708","Native",4,31,"disamb","rp","disamb rp",6,0,293,293,-0.5,-0.5
"11710","Native",4,40,"disamb","rp","disamb rp",7,0,427,427,0.5,0.5
"11712","Native",4,36,"disamb","rp","disamb rp",7,0,321,321,0.5,0.5
"11713","Native",5,39,"disamb","rp","disamb rp",7,0,458,458,0.5,0.5
"11715","Native",5,33,"disamb","rp","disamb rp",5,0,229,229,0.5,-0.5
"11717","Native",5,30,"disamb","rp","disamb rp",6,0,329,329,-0.5,-0.5
"11719","Native",5,46,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11721","Native",5,25,"disamb","rp","disamb rp",5,0,1090,1090,0.5,-0.5
"11723","Native",5,42,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11725","Native",5,41,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11727","Native",5,36,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11729","Native",5,34,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11731","Native",5,35,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11733","Native",5,43,"disamb","rp","disamb rp",7,0,443,443,0.5,0.5
"11735","Native",5,47,"disamb","rp","disamb rp",7,0,883,883,0.5,0.5
"11737","Native",5,38,"disamb","rp","disamb rp",6,0,267,267,-0.5,-0.5
"11739","Native",5,27,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11741","Native",5,45,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11743","Native",5,37,"disamb","rp","disamb rp",5,0,131,131,0.5,-0.5
"11745","Native",5,48,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11747","Native",5,44,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11749","Native",5,26,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11751","Native",5,32,"disamb","rp","disamb rp",8,0,448,448,-0.5,0.5
"11753","Native",5,28,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11755","Native",5,31,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11757","Native",5,29,"disamb","rp","disamb rp",5,0,244,244,0.5,-0.5
"11759","Native",5,40,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11762","Native",6,30,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11764","Native",6,35,"disamb","rp","disamb rp",8,0,241,241,-0.5,0.5
"11766","Native",6,43,"disamb","rp","disamb rp",8,0,369,369,-0.5,0.5
"11768","Native",6,36,"disamb","rp","disamb rp",5,0,291,291,0.5,-0.5
"11770","Native",6,32,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11772","Native",6,37,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11774","Native",6,47,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11776","Native",6,33,"disamb","rp","disamb rp",6,0,139,139,-0.5,-0.5
"11778","Native",6,41,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11780","Native",6,26,"disamb","rp","disamb rp",7,0,540,540,0.5,0.5
"11782","Native",6,39,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11784","Native",6,38,"disamb","rp","disamb rp",7,0,102,102,0.5,0.5
"11786","Native",6,25,"disamb","rp","disamb rp",6,0,88,88,-0.5,-0.5
"11788","Native",6,34,"disamb","rp","disamb rp",7,0,179,179,0.5,0.5
"11790","Native",6,27,"disamb","rp","disamb rp",8,0,143,143,-0.5,0.5
"11792","Native",6,48,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11794","Native",6,28,"disamb","rp","disamb rp",5,0,331,331,0.5,-0.5
"11796","Native",6,31,"disamb","rp","disamb rp",8,0,183,183,-0.5,0.5
"11798","Native",6,46,"disamb","rp","disamb rp",7,0,136,136,0.5,0.5
"11800","Native",6,40,"disamb","rp","disamb rp",5,0,184,184,0.5,-0.5
"11802","Native",6,42,"disamb","rp","disamb rp",7,0,179,179,0.5,0.5
"11804","Native",6,45,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11806","Native",6,44,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11808","Native",6,29,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11809","Native",7,44,"disamb","rp","disamb rp",6,0,1179,1179,-0.5,-0.5
"11811","Native",7,35,"disamb","rp","disamb rp",5,0,624,624,0.5,-0.5
"11813","Native",7,26,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11815","Native",7,38,"disamb","rp","disamb rp",8,0,170,170,-0.5,0.5
"11817","Native",7,28,"disamb","rp","disamb rp",6,0,222,222,-0.5,-0.5
"11819","Native",7,45,"disamb","rp","disamb rp",7,0,2273,2273,0.5,0.5
"11821","Native",7,41,"disamb","rp","disamb rp",7,1,0,NA,0.5,0.5
"11823","Native",7,43,"disamb","rp","disamb rp",5,0,1172,1172,0.5,-0.5
"11825","Native",7,27,"disamb","rp","disamb rp",5,0,481,481,0.5,-0.5
"11827","Native",7,32,"disamb","rp","disamb rp",6,0,460,460,-0.5,-0.5
"11829","Native",7,47,"disamb","rp","disamb rp",5,0,7894,7894,0.5,-0.5
"11831","Native",7,42,"disamb","rp","disamb rp",8,0,432,432,-0.5,0.5
"11833","Native",7,29,"disamb","rp","disamb rp",7,0,393,393,0.5,0.5
"11835","Native",7,46,"disamb","rp","disamb rp",8,1,0,NA,-0.5,0.5
"11837","Native",7,36,"disamb","rp","disamb rp",6,0,161,161,-0.5,-0.5
"11839","Native",7,39,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11841","Native",7,48,"disamb","rp","disamb rp",6,0,243,243,-0.5,-0.5
"11843","Native",7,33,"disamb","rp","disamb rp",7,0,516,516,0.5,0.5
"11845","Native",7,34,"disamb","rp","disamb rp",8,0,587,587,-0.5,0.5
"11847","Native",7,40,"disamb","rp","disamb rp",6,1,0,NA,-0.5,-0.5
"11849","Native",7,30,"disamb","rp","disamb rp",8,0,257,257,-0.5,0.5
"11851","Native",7,25,"disamb","rp","disamb rp",7,0,427,427,0.5,0.5
"11853","Native",7,31,"disamb","rp","disamb rp",5,1,0,NA,0.5,-0.5
"11855","Native",7,37,"disamb","rp","disamb rp",7,0,180,180,0.5,0.5
"11858","Native",8,46,"disamb","rp","disamb rp",5,0,862,862,0.5,-0.5
"11860","Native",8,41,"disamb","rp","disamb rp",8,0,191,191,-0.5,0.5
"11862","Native",8,39,"disamb","rp","disamb rp",6,0,352,352,-0.5,-0.5
"11864","Native",8,35,"disamb","rp","disamb rp",6,0,725,725,-0.5,-0.5
"11866","Native",8,26,"disamb","rp","disamb rp",5,0,417,417,0.5,-0.5
"11868","Native",8,44,"disamb","rp","disamb rp",7,0,207,207,0.5,0.5
"11870","Native",8,38,"disamb","rp","disamb rp",5,0,1351,1351,0.5,-0.5
"11872","Native",8,28,"disamb","rp","disamb rp",7,0,529,529,0.5,0.5
"11874","Native",8,34,"disamb","rp","disamb rp",5,0,582,582,0.5,-0.5
"11876","Native",8,36,"disamb","rp","disamb rp",7,0,469,469,0.5,0.5
"11878","Native",8,48,"disamb","rp","disamb rp",7,0,842,842,0.5,0.5
"11880","Native",8,47,"disamb","rp","disamb rp",6,0,363,363,-0.5,-0.5
"11882","Native",8,25,"disamb","rp","disamb rp",8,0,418,418,-0.5,0.5
"11884","Native",8,43,"disamb","rp","disamb rp",6,0,264,264,-0.5,-0.5
"11886","Native",8,42,"disamb","rp","disamb rp",5,0,360,360,0.5,-0.5
"11888","Native",8,31,"disamb","rp","disamb rp",6,0,257,257,-0.5,-0.5
"11890","Native",8,32,"disamb","rp","disamb rp",7,0,217,217,0.5,0.5
"11892","Native",8,33,"disamb","rp","disamb rp",8,0,262,262,-0.5,0.5
"11894","Native",8,27,"disamb","rp","disamb rp",6,0,409,409,-0.5,-0.5
"11896","Native",8,45,"disamb","rp","disamb rp",8,0,255,255,-0.5,0.5
"11898","Native",8,30,"disamb","rp","disamb rp",5,0,459,459,0.5,-0.5
"11900","Native",8,37,"disamb","rp","disamb rp",8,0,324,324,-0.5,0.5
"11902","Native",8,29,"disamb","rp","disamb rp",8,0,548,548,-0.5,0.5
"11904","Native",8,40,"disamb","rp","disamb rp",7,0,378,378,0.5,0.5
"11905","Native",9,40,"disamb","rp","disamb rp",8,0,168,168,-0.5,0.5
"11907","Native",9,37,"disamb","rp","disamb rp",5,0,394,394,0.5,-0.5
"11909","Native",9,42,"disamb","rp","disamb rp",6,0,252,252,-0.5,-0.5
"11911","Native",9,39,"disamb","rp","disamb rp",7,0,237,237,0.5,0.5
"11913","Native",9,35,"disamb","rp","disamb rp",7,0,623,623,0.5,0.5
"11915","Native",9,38,"disamb","rp","disamb rp",6,0,1398,1398,-0.5,-0.5
"11917","Native",9,26,"disamb","rp","disamb rp",6,0,381,381,-0.5,-0.5
"11919","Native",9,32,"disamb","rp","disamb rp",8,0,412,412,-0.5,0.5
"11921","Native",9,29,"disamb","rp","disamb rp",5,0,645,645,0.5,-0.5
"11923","Native",9,47,"disamb","rp","disamb rp",7,0,2117,2117,0.5,0.5
"11925","Native",9,36,"disamb","rp","disamb rp",8,0,334,334,-0.5,0.5
"11927","Native",9,27,"disamb","rp","disamb rp",7,0,492,492,0.5,0.5
"11929","Native",9,48,"disamb","rp","disamb rp",8,0,675,675,-0.5,0.5
"11931","Native",9,28,"disamb","rp","disamb rp",8,0,379,379,-0.5,0.5
"11933","Native",9,33,"disamb","rp","disamb rp",5,0,244,244,0.5,-0.5
"11935","Native",9,31,"disamb","rp","disamb rp",7,0,178,178,0.5,0.5
"11937","Native",9,43,"disamb","rp","disamb rp",7,0,332,332,0.5,0.5
"11939","Native",9,44,"disamb","rp","disamb rp",8,0,541,541,-0.5,0.5
"11941","Native",9,45,"disamb","rp","disamb rp",5,0,390,390,0.5,-0.5
"11943","Native",9,46,"disamb","rp","disamb rp",6,0,427,427,-0.5,-0.5
