"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"15362","Native",1,24,"reflexive","rp","reflexive rp",4,1,0,NA,-0.5,0.5
"15364","Native",1,12,"reflexive","rp","reflexive rp",4,0,230,230,-0.5,0.5
"15366","Native",1,6,"reflexive","rp","reflexive rp",2,1,0,NA,0.5,0.5
"15368","Native",1,7,"reflexive","rp","reflexive rp",3,0,322,322,-0.5,-0.5
"15370","Native",1,14,"reflexive","rp","reflexive rp",2,0,636,636,0.5,0.5
"15372","Native",1,21,"reflexive","rp","reflexive rp",1,0,183,183,0.5,-0.5
"15374","Native",1,19,"reflexive","rp","reflexive rp",3,0,189,189,-0.5,-0.5
"15376","Native",1,17,"reflexive","rp","reflexive rp",1,0,297,297,0.5,-0.5
"15378","Native",1,10,"reflexive","rp","reflexive rp",2,0,218,218,0.5,0.5
"15380","Native",1,23,"reflexive","rp","reflexive rp",3,0,690,690,-0.5,-0.5
"15382","Native",1,15,"reflexive","rp","reflexive rp",3,1,0,NA,-0.5,-0.5
"15384","Native",1,1,"reflexive","rp","reflexive rp",1,0,317,317,0.5,-0.5
"15386","Native",1,2,"reflexive","rp","reflexive rp",2,0,196,196,0.5,0.5
"15388","Native",1,5,"reflexive","rp","reflexive rp",1,0,179,179,0.5,-0.5
"15390","Native",1,16,"reflexive","rp","reflexive rp",4,0,228,228,-0.5,0.5
"15392","Native",1,3,"reflexive","rp","reflexive rp",3,0,224,224,-0.5,-0.5
"15394","Native",1,13,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15396","Native",1,11,"reflexive","rp","reflexive rp",3,0,191,191,-0.5,-0.5
"15398","Native",1,9,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15400","Native",1,8,"reflexive","rp","reflexive rp",4,0,211,211,-0.5,0.5
"15402","Native",1,4,"reflexive","rp","reflexive rp",4,0,287,287,-0.5,0.5
"15404","Native",1,20,"reflexive","rp","reflexive rp",4,0,177,177,-0.5,0.5
"15406","Native",1,18,"reflexive","rp","reflexive rp",2,0,318,318,0.5,0.5
"15408","Native",1,22,"reflexive","rp","reflexive rp",2,0,285,285,0.5,0.5
"15410","Native",2,14,"reflexive","rp","reflexive rp",3,0,250,250,-0.5,-0.5
"15412","Native",2,4,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15414","Native",2,19,"reflexive","rp","reflexive rp",4,1,0,NA,-0.5,0.5
"15416","Native",2,1,"reflexive","rp","reflexive rp",2,0,263,263,0.5,0.5
"15418","Native",2,5,"reflexive","rp","reflexive rp",2,1,0,NA,0.5,0.5
"15420","Native",2,15,"reflexive","rp","reflexive rp",4,0,3214,3214,-0.5,0.5
"15422","Native",2,7,"reflexive","rp","reflexive rp",4,0,243,243,-0.5,0.5
"15424","Native",2,18,"reflexive","rp","reflexive rp",3,1,0,NA,-0.5,-0.5
"15426","Native",2,6,"reflexive","rp","reflexive rp",3,1,0,NA,-0.5,-0.5
"15428","Native",2,22,"reflexive","rp","reflexive rp",3,0,745,745,-0.5,-0.5
"15430","Native",2,10,"reflexive","rp","reflexive rp",3,0,835,835,-0.5,-0.5
"15432","Native",2,8,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15434","Native",2,24,"reflexive","rp","reflexive rp",1,0,172,172,0.5,-0.5
"15436","Native",2,17,"reflexive","rp","reflexive rp",2,0,166,166,0.5,0.5
"15438","Native",2,2,"reflexive","rp","reflexive rp",3,1,0,NA,-0.5,-0.5
"15440","Native",2,11,"reflexive","rp","reflexive rp",4,1,0,NA,-0.5,0.5
"15442","Native",2,3,"reflexive","rp","reflexive rp",4,0,231,231,-0.5,0.5
"15444","Native",2,21,"reflexive","rp","reflexive rp",2,0,138,138,0.5,0.5
"15446","Native",2,20,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15448","Native",2,16,"reflexive","rp","reflexive rp",1,0,561,561,0.5,-0.5
"15450","Native",2,13,"reflexive","rp","reflexive rp",2,0,181,181,0.5,0.5
"15452","Native",2,9,"reflexive","rp","reflexive rp",2,1,0,NA,0.5,0.5
"15454","Native",2,12,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15456","Native",2,23,"reflexive","rp","reflexive rp",4,0,294,294,-0.5,0.5
"15457","Native",3,11,"reflexive","rp","reflexive rp",1,0,244,244,0.5,-0.5
"15459","Native",3,21,"reflexive","rp","reflexive rp",3,0,322,322,-0.5,-0.5
"15461","Native",3,2,"reflexive","rp","reflexive rp",4,0,1315,1315,-0.5,0.5
"15463","Native",3,20,"reflexive","rp","reflexive rp",2,0,238,238,0.5,0.5
"15465","Native",3,9,"reflexive","rp","reflexive rp",3,0,218,218,-0.5,-0.5
"15467","Native",3,4,"reflexive","rp","reflexive rp",2,0,317,317,0.5,0.5
"15469","Native",3,3,"reflexive","rp","reflexive rp",1,0,321,321,0.5,-0.5
"15471","Native",3,1,"reflexive","rp","reflexive rp",3,1,0,NA,-0.5,-0.5
"15473","Native",3,13,"reflexive","rp","reflexive rp",3,0,237,237,-0.5,-0.5
"15475","Native",3,18,"reflexive","rp","reflexive rp",4,0,376,376,-0.5,0.5
"15477","Native",3,7,"reflexive","rp","reflexive rp",1,0,821,821,0.5,-0.5
"15479","Native",3,5,"reflexive","rp","reflexive rp",3,0,303,303,-0.5,-0.5
"15481","Native",3,15,"reflexive","rp","reflexive rp",1,0,154,154,0.5,-0.5
"15483","Native",3,16,"reflexive","rp","reflexive rp",2,0,328,328,0.5,0.5
"15485","Native",3,8,"reflexive","rp","reflexive rp",2,0,382,382,0.5,0.5
"15487","Native",3,22,"reflexive","rp","reflexive rp",4,0,1939,1939,-0.5,0.5
"15489","Native",3,17,"reflexive","rp","reflexive rp",3,0,331,331,-0.5,-0.5
"15491","Native",3,19,"reflexive","rp","reflexive rp",1,0,214,214,0.5,-0.5
"15493","Native",3,23,"reflexive","rp","reflexive rp",1,0,410,410,0.5,-0.5
"15495","Native",3,14,"reflexive","rp","reflexive rp",4,0,666,666,-0.5,0.5
"15497","Native",3,24,"reflexive","rp","reflexive rp",2,0,293,293,0.5,0.5
"15499","Native",3,10,"reflexive","rp","reflexive rp",4,0,212,212,-0.5,0.5
"15501","Native",3,12,"reflexive","rp","reflexive rp",2,0,292,292,0.5,0.5
"15503","Native",3,6,"reflexive","rp","reflexive rp",4,0,328,328,-0.5,0.5
"15505","Native",4,21,"reflexive","rp","reflexive rp",4,0,316,316,-0.5,0.5
"15507","Native",4,14,"reflexive","rp","reflexive rp",1,0,225,225,0.5,-0.5
"15509","Native",4,22,"reflexive","rp","reflexive rp",1,0,162,162,0.5,-0.5
"15511","Native",4,11,"reflexive","rp","reflexive rp",2,0,313,313,0.5,0.5
"15513","Native",4,15,"reflexive","rp","reflexive rp",2,0,162,162,0.5,0.5
"15515","Native",4,23,"reflexive","rp","reflexive rp",2,0,158,158,0.5,0.5
"15517","Native",4,18,"reflexive","rp","reflexive rp",1,0,110,110,0.5,-0.5
"15519","Native",4,6,"reflexive","rp","reflexive rp",1,0,202,202,0.5,-0.5
"15521","Native",4,10,"reflexive","rp","reflexive rp",1,0,125,125,0.5,-0.5
"15523","Native",4,12,"reflexive","rp","reflexive rp",3,0,158,158,-0.5,-0.5
"15525","Native",4,19,"reflexive","rp","reflexive rp",2,0,134,134,0.5,0.5
"15527","Native",4,1,"reflexive","rp","reflexive rp",4,0,161,161,-0.5,0.5
"15529","Native",4,20,"reflexive","rp","reflexive rp",3,0,145,145,-0.5,-0.5
"15531","Native",4,16,"reflexive","rp","reflexive rp",3,0,186,186,-0.5,-0.5
"15533","Native",4,2,"reflexive","rp","reflexive rp",1,0,96,96,0.5,-0.5
"15535","Native",4,5,"reflexive","rp","reflexive rp",4,0,145,145,-0.5,0.5
"15537","Native",4,17,"reflexive","rp","reflexive rp",4,0,222,222,-0.5,0.5
"15539","Native",4,24,"reflexive","rp","reflexive rp",3,0,189,189,-0.5,-0.5
"15541","Native",4,13,"reflexive","rp","reflexive rp",4,1,0,NA,-0.5,0.5
"15543","Native",4,8,"reflexive","rp","reflexive rp",3,0,156,156,-0.5,-0.5
"15545","Native",4,9,"reflexive","rp","reflexive rp",4,0,123,123,-0.5,0.5
"15547","Native",4,7,"reflexive","rp","reflexive rp",2,0,82,82,0.5,0.5
"15549","Native",4,4,"reflexive","rp","reflexive rp",3,0,129,129,-0.5,-0.5
"15551","Native",4,3,"reflexive","rp","reflexive rp",2,0,328,328,0.5,0.5
"15554","Native",5,8,"reflexive","rp","reflexive rp",4,0,202,202,-0.5,0.5
"15556","Native",5,4,"reflexive","rp","reflexive rp",4,1,0,NA,-0.5,0.5
"15558","Native",5,19,"reflexive","rp","reflexive rp",3,1,0,NA,-0.5,-0.5
"15560","Native",5,21,"reflexive","rp","reflexive rp",1,0,215,215,0.5,-0.5
"15562","Native",5,13,"reflexive","rp","reflexive rp",1,0,333,333,0.5,-0.5
