"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"25038","Native",2,2,"spillover1","tt","spillover1 tt",3,0,211,211,-0.5,-0.5
"25040","Native",2,11,"spillover1","tt","spillover1 tt",4,0,250,250,-0.5,0.5
"25042","Native",2,3,"spillover1","tt","spillover1 tt",4,0,162,162,-0.5,0.5
"25044","Native",2,21,"spillover1","tt","spillover1 tt",2,0,183,183,0.5,0.5
"25046","Native",2,20,"spillover1","tt","spillover1 tt",1,0,194,194,0.5,-0.5
"25048","Native",2,16,"spillover1","tt","spillover1 tt",1,0,373,373,0.5,-0.5
"25050","Native",2,13,"spillover1","tt","spillover1 tt",2,0,198,198,0.5,0.5
"25052","Native",2,9,"spillover1","tt","spillover1 tt",2,0,1286,1286,0.5,0.5
"25054","Native",2,12,"spillover1","tt","spillover1 tt",1,0,457,457,0.5,-0.5
"25056","Native",2,23,"spillover1","tt","spillover1 tt",4,0,366,366,-0.5,0.5
"25057","Native",3,11,"spillover1","tt","spillover1 tt",1,0,373,373,0.5,-0.5
"25059","Native",3,21,"spillover1","tt","spillover1 tt",3,0,343,343,-0.5,-0.5
"25061","Native",3,2,"spillover1","tt","spillover1 tt",4,0,2092,2092,-0.5,0.5
"25063","Native",3,20,"spillover1","tt","spillover1 tt",2,0,1398,1398,0.5,0.5
"25065","Native",3,9,"spillover1","tt","spillover1 tt",3,0,274,274,-0.5,-0.5
"25067","Native",3,4,"spillover1","tt","spillover1 tt",2,0,1676,1676,0.5,0.5
"25069","Native",3,3,"spillover1","tt","spillover1 tt",1,0,637,637,0.5,-0.5
"25071","Native",3,1,"spillover1","tt","spillover1 tt",3,0,469,469,-0.5,-0.5
"25073","Native",3,13,"spillover1","tt","spillover1 tt",3,0,659,659,-0.5,-0.5
"25075","Native",3,18,"spillover1","tt","spillover1 tt",4,0,384,384,-0.5,0.5
"25077","Native",3,7,"spillover1","tt","spillover1 tt",1,0,1359,1359,0.5,-0.5
"25079","Native",3,5,"spillover1","tt","spillover1 tt",3,0,836,836,-0.5,-0.5
"25081","Native",3,15,"spillover1","tt","spillover1 tt",1,0,315,315,0.5,-0.5
